"numero_ocorrencia","ano","mes","dia","rpm_2024","ueop_2024","cia_pm","pelotao","nome_municipio","nome_bairro","natureza_ocorrencia_descricao_longa","numero_envolvido","envolvimento_descricao","furto","roubo","extorsao","data_fato"
"2024-027728341-001",2024,6,19,"15 RPM","19 BPM","232 CIA PM",PM,NOVO CRUZEIRO,CENTRO,FURTO,2.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-06-19"
"2024-027626411-001",2024,6,19,"15 RPM","19 BPM","232 CIA PM",PC,CARAI,,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-06-19"
"2024-027568522-001",2024,6,18,"15 RPM","19 BPM","155 CIA PM",PM,CAMPANARIO,CENTRO,EXTORSAO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,0,0,1,"2024-06-18"
"2024-027564368-001",2024,6,18,"15 RPM","19 BPM","42 CIA PM",PM,TEOFILO OTONI,PAMPULHINHA,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-06-18"
"2024-027507384-001",2024,6,18,"15 RPM","19 BPM","232 CIA PM",PM,POTE,,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-06-18"
"2024-027334027-001",2024,6,17,"15 RPM","19 BPM","47 CIA PM",PC,TEOFILO OTONI,TURMA 37,EXTORSAO,2.0,VITIMA DE ACAO CRIMINAL / CIVEL,0,0,1,"2024-06-17"
"2024-027267951-001",2024,6,17,"15 RPM","19 BPM","42 CIA PM",PM,TEOFILO OTONI,SAO CRISTOVAO,FURTO,1.0,SOLICITANTE,1,0,0,"2024-06-17"
"2024-027152656-001",2024,6,15,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,SAO DIOGO,FURTO,1.0,VITIMA - OUTROS,1,0,0,"2024-06-15"
"2024-027137801-001",2024,6,16,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,BELVEDERE,FURTO,2.0,SOLICITANTE,0,0,0,"2024-06-16"
"2024-027137801-001",2024,6,16,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,BELVEDERE,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-06-16"
"2024-027112704-001",2024,6,12,"15 RPM","19 BPM","232 CIA PM",PM,LADAINHA,LIBERDADE,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-06-12"
"2024-027002076-001",2024,6,14,"15 RPM","19 BPM","155 CIA PM",PM,ITAMBACURI,HOLLYWOOD,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-06-14"
"2024-026875225-001",2024,6,14,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,MARAJOARA,FURTO,2.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-06-14"
"2024-026875225-001",2024,6,14,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,MARAJOARA,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-06-14"
"2024-026872115-001",2024,6,14,"15 RPM","19 BPM","155 CIA PM",PM,ITAMBACURI,CENTRO,FURTO,1.0,SOLICITANTE,1,0,0,"2024-06-14"
"2024-026868747-001",2024,5,14,"15 RPM","19 BPM","232 CIA PM",PM,NOVO CRUZEIRO,,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-05-14"
"2024-026838803-001",2024,6,14,"15 RPM","19 BPM","42 CIA PM",PM,TEOFILO OTONI,SAO CRISTOVAO,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-06-14"
"2024-026711741-001",2024,6,12,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,CENTRO,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-06-12"
"2024-026711741-001",2024,6,12,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,CENTRO,FURTO,2.0,SOLICITANTE,0,0,0,"2024-06-12"
"2024-026536348-001",2024,6,11,"15 RPM","19 BPM","42 CIA PM",PM,TEOFILO OTONI,SAO CRISTOVAO,ROUBO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,0,1,0,"2024-06-11"
"2024-026507060-001",2024,6,11,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,BELVEDERE,FURTO,4.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-06-11"
"2024-026507060-001",2024,6,11,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,BELVEDERE,FURTO,2.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-06-11"
"2024-026507060-001",2024,6,11,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,BELVEDERE,FURTO,1.0,SOLICITANTE,0,0,0,"2024-06-11"
"2024-026507060-001",2024,6,11,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,BELVEDERE,FURTO,3.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-06-11"
"2024-026484220-001",2024,6,11,"15 RPM","19 BPM","232 CIA PM",PM,CARAI,,ROUBO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,0,1,0,"2024-06-11"
"2024-026380148-001",2024,6,11,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,GRAO PARA,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-06-11"
"2024-026347226-001",2024,6,10,"15 RPM","19 BPM","42 CIA PM",PM,TEOFILO OTONI,BELA VISTA,FURTO,1.0,VITIMA E PASSAGEIRO (TRANSITO),1,0,0,"2024-06-10"
"2024-026281406-001",2024,6,10,"15 RPM","19 BPM","155 CIA PM",PM,ITAMBACURI,,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-06-10"
"2024-026237629-001",2024,6,7,"15 RPM","19 BPM","232 CIA PM",PM,POTE,CENTRO,FURTO,2.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-06-07"
"2024-026097252-001",2024,6,7,"15 RPM","19 BPM","42 CIA PM",PM,TEOFILO OTONI,BELA VISTA,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-06-07"
"2024-026068460-001",2024,5,10,"15 RPM","19 BPM","155 CIA PM",PM,ATALEIA,CENTRO,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-05-10"
"2024-026001767-001",2024,6,8,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,CENTRO,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-06-08"
"2024-025992877-001",2024,6,8,"15 RPM","19 BPM","232 CIA PM",PM,CARAI,CENTRO,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-06-08"
"2024-025984686-001",2024,4,20,"15 RPM","19 BPM","155 CIA PM",PM,FREI GASPAR,VILA RICA,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-04-20"
"2024-025963505-001",2024,6,6,"15 RPM","19 BPM","232 CIA PM",PM,SETUBINHA,,FURTO,1.0,SOLICITANTE,0,0,0,"2024-06-06"
"2024-025963505-001",2024,6,6,"15 RPM","19 BPM","232 CIA PM",PM,SETUBINHA,,FURTO,2.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-06-06"
"2024-025917681-001",2024,6,8,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,CASTRO PIRES,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-06-08"
"2024-025898971-001",2024,6,8,"15 RPM","19 BPM","42 CIA PM",PM,TEOFILO OTONI,CONCORDIA,FURTO,1.0,SOLICITANTE,1,0,0,"2024-06-08"
"2024-025806450-001",2024,6,7,"15 RPM","19 BPM","155 CIA PM",PM,FREI GASPAR,,FURTO,1.0,SOLICITANTE,1,0,0,"2024-06-07"
"2024-025771070-001",2024,6,7,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,MARAJOARA,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-06-07"
"2024-025770980-001",2024,6,7,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,CENTRO,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-06-07"
"2024-025757850-001",2024,6,7,"15 RPM","19 BPM","155 CIA PM",PM,NOVA MODICA,CENTRO,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-06-07"
"2024-025746430-001",2024,5,24,"15 RPM","19 BPM","155 CIA PM",PM,ITAMBACURI,VARZEA,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-05-24"
"2024-025732317-001",2024,5,26,"15 RPM","19 BPM","155 CIA PM",PM,FREI GASPAR,,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-05-26"
"2024-025644722-001",2024,6,2,"15 RPM","19 BPM","232 CIA PM",PM,FRANCISCOPOLIS,,FURTO,3.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-06-02"
"2024-025629709-001",2024,5,30,"15 RPM","19 BPM","42 CIA PM",PM,PAVAO,,FURTO,1.0,SOLICITANTE,1,0,0,"2024-05-30"
"2024-025619127-001",2024,5,25,"15 RPM","19 BPM","42 CIA PM",PC,TEOFILO OTONI,BELA VISTA,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-05-25"
"2024-025580786-001",2024,6,5,"15 RPM","19 BPM","42 CIA PM",PC,TEOFILO OTONI,SAO JACINTO,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-06-05"
"2024-025568424-001",2024,6,6,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,CENTRO,FURTO,1.0,SOLICITANTE,1,0,0,"2024-06-06"
"2024-025563932-001",2024,6,6,"15 RPM","19 BPM","232 CIA PM",PC,CATUJI,CENTRO,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-06-06"
"2024-025481170-001",2024,6,5,"15 RPM","19 BPM","155 CIA PM",PM,ITAMBACURI,CENTRO,FURTO,2.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-06-05"
"2024-025478633-001",2024,6,4,"15 RPM","19 BPM","232 CIA PM",PC,CATUJI,CENTRO,ROUBO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,0,1,0,"2024-06-04"
"2024-025441152-001",2024,6,5,"15 RPM","19 BPM","42 CIA PM",PM,TEOFILO OTONI,LOCALIDADE DA LAJINHA,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-06-05"
"2024-025435757-001",2024,6,1,"15 RPM","19 BPM","42 CIA PM",PC,TEOFILO OTONI,CONCORDIA,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-06-01"
"2024-025416190-001",2024,6,5,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,CENTRO,FURTO,1.0,SOLICITANTE,1,0,0,"2024-06-05"
"2024-025345430-001",2024,6,4,"15 RPM","19 BPM","42 CIA PM",PM,TEOFILO OTONI,SAO JACINTO,ROUBO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,0,1,0,"2024-06-04"
"2024-025291956-001",2024,6,1,"15 RPM","19 BPM","232 CIA PM",PC,MALACACHETA,BELA VISTA,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-06-01"
"2024-025273155-001",2024,6,3,"15 RPM","19 BPM","232 CIA PM",PM,SETUBINHA,PLANALTO,FURTO,1.0,SOLICITANTE,0,0,0,"2024-06-03"
"2024-025273155-001",2024,6,3,"15 RPM","19 BPM","232 CIA PM",PM,SETUBINHA,PLANALTO,FURTO,2.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-06-03"
"2024-025270374-001",2024,6,3,"15 RPM","19 BPM","155 CIA PM",PM,ITAMBACURI,SANTA CLARA,FURTO,1.0,SOLICITANTE,1,0,0,"2024-06-03"
"2024-025241660-001",2024,5,30,"15 RPM","19 BPM","42 CIA PM",PM,NOVO ORIENTE DE MINAS,CENTRO,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-05-30"
"2024-025235152-001",2024,6,4,"15 RPM","19 BPM","42 CIA PM",PM,TEOFILO OTONI,,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-06-04"
"2024-025138491-001",2024,5,30,"15 RPM","19 BPM","42 CIA PM",PC,TEOFILO OTONI,PALMEIRAS,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-05-30"
"2024-025135250-001",2024,5,31,"15 RPM","19 BPM","155 CIA PM",PM,ITAMBACURI,,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-05-31"
"2024-025126393-001",2024,6,3,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,FATIMA,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-06-03"
"2024-025120433-001",2024,6,3,"15 RPM","19 BPM","155 CIA PM",PM,ITAMBACURI,CENTRO,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-06-03"
"2024-025111395-001",2024,6,3,"15 RPM","19 BPM","42 CIA PM",PM,PAVAO,LOCALIDADE DE LIMEIRAS,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-06-03"
"2024-025061487-001",2024,6,3,"15 RPM","19 BPM","47 CIA PM",PM,TEOFILO OTONI,CENTRO,FURTO,1.0,SOLICITANTE,1,0,0,"2024-06-03"
"2024-025005940-001",2024,6,1,"15 RPM","19 BPM","232 CIA PM",PM,POTE,MARISTELA,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-06-01"
"2024-024886970-001",2024,6,1,"15 RPM","19 BPM","42 CIA PM",PM,TEOFILO OTONI,BELA VISTA,FURTO,1.0,VITIMA DE ACAO CRIMINAL / CIVEL,1,0,0,"2024-06-01"
"2024-024869615-001",2024,6,1,"15 RPM","19 BPM","155 CIA PM",PM,ITAMBACURI,CENTRO,FURTO,1.0,SOLICITANTE,1,0,0,"2024-06-01"
